"V1","V2","V3","V4","V5","V6","V7"
"high","med","2","4","med","high","bad"
"high","med","4","4","big","high","bad"
"low","med","5more","4","small","med","bad"
"high","med","4","more","big","high","bad"
"high","med","4","more","small","high","bad"
"med","vhigh","4","more","small","high","bad"
"low","vhigh","3","4","med","high","bad"
"high","low","4","more","small","high","bad"
"high","high","5more","more","med","high","bad"
"med","med","3","more","med","med","bad"
"high","high","5more","4","big","med","bad"
"med","high","2","4","big","high","bad"
"vhigh","med","4","4","med","high","bad"
"low","vhigh","2","4","big","high","bad"
"med","high","5more","more","med","med","bad"
"med","vhigh","2","more","big","med","bad"
"med","high","3","4","big","med","bad"
"med","high","5more","4","med","med","bad"
"low","vhigh","5more","4","big","high","bad"
"high","low","5more","more","med","med","bad"
"med","vhigh","2","more","big","high","bad"
"high","low","2","more","med","high","bad"
"med","low","5more","4","small","med","bad"
"med","high","5more","4","big","med","bad"
"med","vhigh","2","4","big","med","bad"
"vhigh","low","5more","4","med","high","bad"
"vhigh","low","5more","more","small","high","bad"
"high","low","3","more","med","med","bad"
"vhigh","low","5more","4","small","high","bad"
"low","vhigh","4","more","med","high","bad"
"vhigh","low","2","more","big","high","bad"
"med","low","4","4","small","med","bad"
"vhigh","med","5more","more","big","med","bad"
"low","high","2","4","small","med","bad"
"med","high","3","more","small","high","bad"
"vhigh","med","3","more","med","med","bad"
"high","high","2","more","big","high","bad"
"high","med","2","4","big","med","bad"
"med","med","4","more","small","med","bad"
"vhigh","med","5more","more","small","high","bad"
"high","low","4","4","small","high","bad"
"med","med","3","4","med","high","bad"
"vhigh","low","4","more","small","high","bad"
"high","med","4","4","med","med","bad"
"low","high","3","4","med","med","bad"
"med","vhigh","4","more","med","high","bad"
"high","med","4","more","big","med","bad"
"med","high","4","4","big","med","bad"
"med","high","2","4","big","med","bad"
"med","high","3","more","big","med","bad"
"low","med","5more","more","small","med","bad"
"high","med","5more","4","big","med","bad"
"med","vhigh","3","4","med","high","bad"
"med","low","3","more","small","med","bad"
"med","low","2","4","small","med","bad"
"high","med","5more","4","big","high","bad"
"vhigh","low","2","more","big","med","bad"
"med","med","2","4","med","high","bad"
"low","med","4","4","small","med","bad"
"vhigh","med","4","4","big","med","bad"
"med","high","4","more","big","high","bad"
"low","low","3","more","small","med","bad"
"med","med","3","more","big","med","bad"
"low","vhigh","3","more","big","med","bad"
"high","high","2","4","big","high","bad"
"low","med","2","more","big","med","good"
"low","low","5more","4","big","med","good"
"low","low","2","more","med","high","good"
"low","med","5more","more","med","med","good"
"med","low","3","4","small","high","good"
"low","low","5more","more","small","high","good"
"low","med","4","4","med","med","good"
"low","med","3","4","small","high","good"
"low","low","3","more","big","med","good"
"low","low","3","4","med","high","good"
"low","low","4","more","small","high","good"
"med","low","5more","more","big","med","good"
"low","med","2","4","small","high","good"
"med","low","4","more","small","high","good"
"low","low","3","more","small","high","good"
"med","low","2","4","med","high","good"
"med","low","4","more","big","med","good"
"low","low","3","more","med","med","good"
"low","low","4","4","big","med","good"
"low","low","5more","4","med","med","good"
"low","med","5more","4","small","high","good"
"low","low","2","4","med","high","good"
"low","low","5more","more","big","med","good"
"low","low","2","more","big","med","good"
"med","low","3","4","med","high","good"
"low","low","5more","more","med","med","good"
"med","low","3","more","big","med","good"
"low","med","3","more","big","med","good"
"low","med","3","more","small","high","good"
"low","low","4","more","big","med","good"
"low","low","4","more","med","med","good"
"low","med","5more","more","big","med","good"
"med","low","5more","4","small","high","good"
"med","low","5more","4","med","med","good"
"med","low","3","more","small","high","good"
"low","med","3","4","big","med","good"
"med","low","4","4","med","med","good"
"low","low","2","4","small","high","good"
"med","low","3","4","big","med","good"
"med","low","3","more","med","med","good"
"low","low","4","4","med","med","good"
"low","med","3","4","med","high","good"
"low","med","2","more","med","high","good"
"low","low","4","4","small","high","good"
"med","low","4","more","med","med","good"
"low","med","5more","4","med","med","good"
"med","low","5more","more","med","med","good"
"low","med","4","4","big","med","good"
"low","low","5more","4","small","high","good"
"low","med","4","more","med","med","good"
"med","low","5more","more","small","high","good"
"low","med","4","more","small","high","good"
"med","low","2","more","med","high","good"
"low","med","4","4","small","high","good"
"med","low","2","4","big","med","good"
"low","low","3","4","big","med","good"
"med","low","2","more","big","med","good"
"med","low","4","4","small","high","good"
"med","low","2","4","small","high","good"
"low","med","5more","4","big","med","good"
"low","med","5more","more","small","high","good"
"low","low","2","4","big","med","good"
"low","med","2","4","big","med","good"
"med","low","5more","4","big","med","good"
"low","med","2","4","med","high","good"
"vhigh","med","2","more","small","low","bad"
"vhigh","med","2","2","med","low","bad"
"vhigh","med","4","2","small","high","bad"
"high","vhigh","5more","2","med","high","bad"
"high","vhigh","2","4","med","med","bad"
"high","vhigh","3","2","med","low","bad"
"med","med","2","2","small","med","bad"
"high","vhigh","5more","more","med","low","bad"
"vhigh","low","2","4","big","low","bad"
"med","med","4","4","small","low","bad"
"med","high","3","more","big","low","bad"
"low","low","5more","4","big","low","bad"
"vhigh","vhigh","3","2","big","low","bad"
"med","high","4","2","small","high","bad"
"high","med","2","2","big","high","bad"
"high","low","5more","4","small","low","bad"
"med","high","3","2","small","med","bad"
"high","high","3","2","big","med","bad"
"med","low","3","2","med","low","bad"
"high","med","4","2","big","med","bad"
"high","med","3","4","med","low","bad"
"high","vhigh","3","2","big","med","bad"
"high","med","5more","4","big","low","bad"
"vhigh","vhigh","4","4","big","low","bad"
"vhigh","high","5more","2","med","high","bad"
"vhigh","vhigh","2","2","big","low","bad"
"med","vhigh","2","2","med","med","bad"
"high","vhigh","4","4","small","med","bad"
"low","vhigh","5more","more","small","low","bad"
"low","high","2","2","small","high","bad"
"vhigh","vhigh","4","4","med","med","bad"
"low","vhigh","3","2","big","med","bad"
"vhigh","med","5more","4","small","low","bad"
"low","vhigh","3","2","med","high","bad"
"low","high","2","4","small","low","bad"
"vhigh","low","4","4","small","low","bad"
"high","med","5more","2","med","med","bad"
"low","high","5more","2","big","high","bad"
"med","med","3","more","small","low","bad"
"vhigh","high","5more","4","med","med","bad"
"vhigh","med","2","4","small","low","bad"
"low","med","5more","2","med","low","bad"
"vhigh","vhigh","5more","more","big","med","bad"
"high","high","2","4","big","low","bad"
"med","low","4","4","small","low","bad"
"vhigh","vhigh","5more","2","med","high","bad"
"vhigh","med","5more","2","med","low","bad"
"vhigh","vhigh","4","more","small","high","bad"
"vhigh","med","2","2","big","high","bad"
"high","med","5more","2","med","low","bad"
"vhigh","vhigh","2","4","med","high","bad"
"vhigh","med","5more","2","med","med","bad"
"med","high","2","more","small","low","bad"
"high","low","2","more","small","high","bad"
"high","high","3","2","med","high","bad"
"high","med","2","more","small","low","bad"
"low","vhigh","5more","more","med","low","bad"
"high","high","4","2","big","low","bad"
"med","vhigh","2","4","med","med","bad"
"low","med","2","more","small","med","bad"
"high","vhigh","3","2","big","low","bad"
"med","high","4","4","med","low","bad"
"low","high","5more","2","small","high","bad"
"high","vhigh","4","more","small","med","bad"
"high","med","4","2","med","high","bad"
"med","med","3","more","med","high","good"
"low","med","5more","more","med","high","good"
"med","med","4","4","med","high","good"
"low","high","2","4","big","high","good"
"low","high","4","4","big","high","good"
"low","med","2","4","big","high","good"
"med","low","4","more","med","high","good"
"med","low","5more","more","med","high","good"
"low","high","5more","more","med","high","good"
"med","low","4","4","med","high","good"
"med","med","4","more","med","high","good"
"low","med","4","more","med","high","good"
"med","med","5more","more","big","high","good"
"low","high","2","more","big","high","good"
"low","med","4","4","med","high","good"
"low","high","5more","4","med","high","good"
"low","low","4","4","med","high","good"
"low","med","3","more","med","high","good"
"low","low","5more","4","big","high","good"
"low","med","2","more","big","high","good"
"med","med","4","more","big","high","good"
"low","med","3","4","big","high","good"
"low","low","3","more","med","high","good"
"med","med","2","4","big","high","good"
"med","low","5more","4","med","high","good"
"med","low","5more","4","big","high","good"
"low","high","4","4","med","high","good"
"med","low","3","4","big","high","good"
"med","med","4","4","big","high","good"
"med","low","4","4","big","high","good"
"med","low","4","more","big","high","good"
"low","low","5more","more","med","high","good"
"med","med","3","more","big","high","good"
"med","low","2","4","big","high","good"
"low","high","4","more","med","high","good"
"low","low","3","more","big","high","good"
"low","med","5more","4","med","high","good"
"low","high","5more","more","big","high","good"
"low","med","4","4","big","high","good"
"low","low","5more","more","big","high","good"
"med","med","2","more","big","high","good"
"med","low","3","more","big","high","good"
"low","med","5more","more","big","high","good"
"med","med","3","4","big","high","good"
"med","med","5more","4","med","high","good"
"low","high","3","4","big","high","good"
"low","low","4","more","big","high","good"
"low","low","4","4","big","high","good"
"low","med","3","more","big","high","good"
"med","low","2","more","big","high","good"
"med","med","5more","4","big","high","good"
"low","high","3","more","big","high","good"
"low","med","4","more","big","high","good"
"low","med","5more","4","big","high","good"
"low","low","2","4","big","high","good"
"med","low","3","more","med","high","good"
"low","high","5more","4","big","high","good"
"low","high","4","more","big","high","good"
"low","low","5more","4","med","high","good"
"low","low","3","4","big","high","good"
"med","low","5more","more","big","high","good"
"low","high","3","more","med","high","good"
"med","med","5more","more","med","high","good"
"low","low","4","more","med","high","good"
"low","low","2","more","big","high","good"
